Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40
,0.55,0.47,0.40,0.35,0.31,0.28,0.25,0.23,0.21,0.19,0.18,0.16,0.14,0.13,0.11,0.10,0.08,0.07,0.06,0.04,0.01
rca.function.halstead.n1,20,25,49,49,50,60,49,57,50,59,71,73,81,79,82,88,86,82,79,76,88
rca.function.halstead.purity_ratio,18,42,58,66,71,70,67,74,65,59,66,76,78,75,81,75,85,88,91,85,99
rca.function.nom.closures_min,6,14,22,26,28,49,45,51,61,58,64,68,74,70,73,61,71,70,82,90,95
rca.function.mi.mi_original,19,25,28,42,24,32,39,34,46,43,50,54,57,62,44,51,45,53,56,73,71
rca.function.nom.closures_average,17,12,18,32,43,31,44,39,44,41,56,58,59,57,72,64,69,77,76,79,96
rca.function.mi.mi_visual_studio,15,14,18,27,45,44,44,48,45,45,52,60,62,61,79,78,85,85,86,91,95
rca.function.nom.functions_min,14,22,19,16,22,43,45,50,52,49,48,54,57,56,54,52,65,66,66,78,93
rca.function.nom.closures_max,14,14,16,25,39,38,33,41,41,49,34,41,48,50,67,73,74,77,84,87,92
rca.function.halstead.level,6,11,14,14,22,31,36,42,49,52,46,49,45,47,62,61,74,75,76,89,92
rca.function.nargs.functions_min,6,10,9,12,21,22,35,39,41,38,48,49,41,43,61,68,75,78,76,79,89
rca.function.nom.functions_max,1,2,16,15,24,22,26,35,35,39,42,43,51,50,56,64,60,71,70,70,78
rca.function.nom.functions_average,3,18,16,21,15,13,22,15,24,24,45,47,56,62,59,66,72,71,70,74,94
rca.function.nargs.average_closures,4,8,12,11,16,20,16,26,22,36,31,42,43,54,65,74,67,65,67,70,85
rca.function.nargs.average_functions,3,7,14,17,24,28,29,38,33,36,23,29,40,41,60,63,62,66,65,71,71
rca.function.nargs.closures_min,1,2,4,10,10,12,23,20,32,34,39,33,41,39,53,61,56,66,66,79,84
rca.function.nexits.average,2,4,4,6,12,26,23,27,33,37,31,34,38,47,39,59,55,58,58,73,84
rca.function.loc.lloc_average,2,1,4,5,3,8,10,9,9,14,12,9,14,16,36,46,61,52,51,54,64
rca.function.mi.mi_sei,25,25,21,28,22,19,30,24,35,38,43,38,31,34,29,28,35,40,48,64,92
rca.function.nargs.average,3,5,5,9,9,10,11,13,20,24,30,24,35,38,31,42,35,43,51,66,84
rca.function.nargs.closures_max,5,2,1,5,10,6,11,11,15,10,12,12,15,16,28,35,50,54,56,63,76
rca.function.nexits.max,1,2,2,2,4,7,8,12,13,16,17,24,28,33,30,39,45,48,51,54,73
rca.function.loc.cloc_min,2,6,5,7,5,9,9,14,16,28,20,28,32,35,25,39,41,42,50,64,72
rca.function.loc.lloc_min,0,2,2,4,8,6,10,14,18,25,20,25,17,23,34,28,35,49,53,49,70
rca.function.nargs.functions_max,2,4,9,9,11,12,19,18,24,34,36,33,34,34,35,46,38,40,47,70,93
rca.function.nargs.total_closures,1,1,1,2,2,5,4,12,8,7,6,13,17,22,30,36,52,52,48,48,69
rca.function.loc.sloc_min,1,1,0,1,1,1,1,2,3,5,4,9,11,16,16,31,42,41,46,56,71
rca.function.cyclomatic.sum,0,0,0,1,0,0,0,1,2,4,2,5,5,3,10,8,10,14,24,53,54
rca.function.loc.cloc_max,1,1,6,4,9,12,13,19,14,12,11,13,15,12,27,22,40,34,42,48,62
rca.function.loc.lloc_max,1,4,4,1,5,4,5,10,12,18,25,22,29,32,20,32,24,28,34,56,72
rca.function.loc.ploc_max,1,1,1,0,1,1,2,2,3,5,8,5,6,8,11,12,16,20,23,48,58
rca.function.nexits.min,1,2,3,7,8,9,18,13,15,19,31,28,28,30,32,35,30,37,45,60,80
rca.function.cognitive.sum,0,2,1,2,3,4,7,11,8,11,11,12,13,17,14,16,16,17,25,39,52
rca.function.cyclomatic.average,0,0,0,0,0,1,1,0,1,2,4,5,5,4,6,12,12,30,27,33,52
rca.function.cyclomatic.max,0,0,0,0,1,0,1,1,1,2,2,4,3,3,9,6,20,18,18,24,56
rca.function.loc.cloc_average,1,1,3,7,8,6,7,8,10,13,17,23,19,24,31,31,39,40,42,34,63
rca.function.loc.lloc,0,0,0,0,0,6,10,8,8,5,5,8,5,9,7,11,14,24,20,44,52
rca.function.loc.sloc_average,0,0,1,1,0,1,1,2,3,3,5,5,4,7,6,9,17,19,18,25,73
rca.function.loc.sloc_max,0,1,0,0,1,1,1,4,2,5,9,8,8,10,11,10,12,20,24,30,59
rca.function.nom.average,2,2,1,4,5,4,7,7,7,10,12,11,10,14,15,19,21,23,27,36,63
rca.function.halstead.vocabulary,0,0,0,0,0,1,1,3,2,2,3,6,4,5,4,12,10,19,21,31,53
rca.function.cognitive.average,0,0,0,1,1,0,0,0,1,1,3,3,3,3,2,5,8,12,10,24,31
rca.function.cognitive.max,0,1,2,1,1,3,3,5,8,8,6,8,6,7,11,9,9,13,14,20,48
rca.function.cognitive.min,0,0,0,1,1,1,3,2,6,4,3,7,6,5,6,8,10,11,15,26,38
rca.function.cyclomatic.min,0,0,0,0,0,0,0,1,0,1,2,1,4,1,8,7,9,7,10,20,35
rca.function.loc.blank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,5,13,20
rca.function.loc.blank_average,0,0,0,0,0,1,2,2,1,5,4,2,2,1,9,5,4,4,6,11,22
rca.function.loc.blank_max,0,0,0,0,1,2,1,1,0,1,1,2,4,4,12,10,17,18,25,21,39
rca.function.loc.blank_min,0,0,0,1,0,0,1,1,2,3,5,5,5,7,5,5,7,7,10,21,32
rca.function.loc.cloc,0,1,1,1,1,1,3,2,5,4,8,4,4,8,5,11,12,24,23,30,40
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,5,6,14
rca.function.loc.ploc_average,0,1,1,2,3,2,3,2,5,5,5,5,3,5,7,12,9,7,12,24,45
rca.function.loc.ploc_min,0,0,1,2,4,4,2,5,12,9,7,9,11,14,11,18,15,26,31,33,41
rca.function.loc.sloc,1,1,1,1,3,1,3,2,4,3,5,6,5,8,7,11,11,16,21,42,27
rca.function.nargs.total,0,0,0,0,0,0,0,1,1,1,8,12,13,19,12,16,16,19,20,32,45
rca.function.nargs.total_functions,0,0,0,0,0,1,0,0,1,3,4,4,5,3,8,9,9,9,17,23,37
rca.function.nexits.sum,0,0,0,0,1,2,2,4,4,4,5,5,4,6,4,4,8,9,12,18,50
rca.function.nom.closures,0,0,0,0,1,2,2,3,2,6,8,11,7,6,14,15,24,20,27,24,45
rca.function.nom.functions,0,0,0,0,0,0,0,2,2,2,4,4,7,7,6,9,10,17,17,14,39
rca.function.nom.total,0,0,1,0,1,0,1,2,4,3,6,3,5,7,7,12,11,18,27,23,52
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,2,6,2,1,1,4,6,8,11,11,19,31
rca.function.halstead.N2,0,0,0,0,0,1,0,1,0,1,2,4,11,8,16,11,14,15,12,22,21
rca.function.halstead.bugs,0,0,0,0,0,0,0,0,0,1,2,1,5,1,1,2,2,8,15,9,14
rca.function.halstead.difficulty,0,0,1,0,1,2,5,5,9,7,6,11,14,19,18,19,32,34,39,38,45
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,4,8,9,15
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,0,1,1,2,2,3,2,6,9,11,9,10,25,35
rca.function.halstead.length,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,4,7,11,43
rca.function.halstead.n2,0,0,0,0,0,0,1,1,4,7,6,11,12,17,9,11,12,15,22,22,49
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2,3,7,5,8,19
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,9
